id;violation_time;location;status;evidence_image;created_at
1;2024-10-23T14:41:47;if;storyboard edge spice;split entrench;2024-10-23T18:22:36
2;2024-10-23T11:05:31;at industrialize confute;drat;interviewer till;2024-10-23T18:05:34
3;2024-10-23T11:41:09;ew;which warm;government;2024-10-23T23:17:03
4;2024-10-23T11:00:58;passionate so;shadowy broadcast thankfully;gosh polite;2024-10-23T23:18:03
5;2024-10-24T08:09:59;lively debut aboard;makeover likewise cantaloupe;our;2024-10-24T07:02:18
6;2024-10-23T13:29:24;shinny;warming meanwhile gah;complete instead;2024-10-24T00:59:34
7;2024-10-24T04:10:59;immediate vice;overcharge consequently;gruesome upside-down;2024-10-23T10:36:21
8;2024-10-24T04:37:06;waist but tackle;ah since incidentally;boo except forgo;2024-10-24T02:54:35
9;2024-10-24T06:57:27;wheel against until;duh shaft mid;hovel concerned;2024-10-24T01:02:54
10;2024-10-24T06:32:29;consequently or;cosset on;boring joyous whenever;2024-10-23T23:10:21
